OrderID,OrderDate,CustomerID,CustomerName,City,State,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Sales,Cost,Profit,PaymentMethod,Month,Month Number,Year,Profit Margin,,,,
10001,2/25/2026,1360.00,Customer 137,Delhi,Delhi,215.00,Notebook,Office,3.00,"$25,082.00 ",1000.00%,"$67,721.40","$54,102.17","$13,619.23",UPI,February,2,2026,79.89%,,,,
10002,4/28/2026,1085.00,Customer 298,Mumbai,Maharashtra,287.00,Pen,Office,8.00,"$35,485.00 ",500.00%,"$269,686.00","$228,090.18","$41,595.82",Debit Card,April,4,2026,84.58%,,,,
10003,5/16/2026,1058.00,Customer 403,Bengaluru,Karnataka,240.00,Desk,Furniture,8.00,"$37,532.00 ",2000.00%,"$240,204.80","$208,326.24","$31,878.56",Credit Card,May,5,2026,86.73%,,,,
10004,7/20/2025,1205.00,Customer 274,Mumbai,Maharashtra,286.00,Monitor,Electronics,6.00,"$16,992.00 ",0.00%,"$101,952.00","$68,745.60","$33,206.40",Cash,July,7,2025,67.43%,,,,
10005,3/8/2026,1306.00,Customer 103,Hyderabad,Telangana,247.00,Table,Furniture,6.00,"$35,089.00 ",500.00%,"$200,007.30","$128,846.50","$71,160.80",Debit Card,March,3,2026,64.42%,,,,
10006,11/2/2026,1354.00,Customer 47,Mumbai,Maharashtra,215.00,Monitor,Electronics,3.00,"$12,003.00 ",0.00%,"$36,009.00","$31,739.79","$4,269.21",UPI,November,11,2026,88.14%,,,,
10007,6/7/2026,1119.00,Customer 299,Chennai,Tamil Nadu,251.00,Table,Furniture,8.00,"$33,415.00 ",0.00%,"$267,320.00","$165,990.78","$101,329.22",UPI,June,6,2026,62.09%,,,,
10008,10/30/2025,1245.00,Customer 359,Bengaluru,Karnataka,283.00,Paper,Office,2.00,"$28,113.00 ",500.00%,"$53,414.70","$35,226.64","$18,188.06",Credit Card,October,10,2025,65.95%,,,,
10009,10/1/2026,1028.00,Customer 161,Bengaluru,Karnataka,204.00,Desk,Furniture,5.00,"$25,903.00 ",1500.00%,"$110,087.75","$87,560.38","$22,527.37",Cash,October,10,2026,79.54%,,,,
10010,11/4/2025,1246.00,Customer 94,Mumbai,Maharashtra,270.00,Chair,Furniture,5.00,"$11,790.00 ",500.00%,"$56,002.50","$39,269.39","$16,733.11",UPI,November,11,2025,70.12%,,,,
10011,4/1/2025,1024.00,Customer 198,Mumbai,Maharashtra,253.00,Pen,Office,2.00,"$41,869.00 ",500.00%,"$79,551.10","$65,924.40","$13,626.70",Debit Card,April,4,2025,82.87%,,,,
10012,12/23/2025,1407.00,Customer 122,Chennai,Tamil Nadu,228.00,Desk,Furniture,7.00,"$13,772.00 ",0.00%,"$96,404.00","$76,112.43","$20,291.57",UPI,December,12,2025,78.95%,,,,
10013,8/13/2025,1130.00,Customer 268,Hyderabad,Telangana,213.00,Pen,Office,1.00,"$10,070.00 ",1500.00%,"$8,559.50","$6,220.41","$2,339.09",Cash,August,8,2025,72.67%,,,,
10014,2/24/2025,1048.00,Customer 60,Hyderabad,Telangana,265.00,Monitor,Electronics,6.00,"$31,815.00 ",500.00%,"$181,345.50","$132,374.34","$48,971.16",UPI,February,2,2025,73.00%,,,,
10015,4/9/2026,1304.00,Customer 18,Bengaluru,Karnataka,257.00,Notebook,Office,4.00,"$42,955.00 ",1500.00%,"$146,047.00","$127,702.13","$18,344.87",Debit Card,April,4,2026,87.44%,,,,5
10016,9/17/2025,1114.00,Customer 205,Delhi,Delhi,205.00,Paper,Office,8.00,"$3,623.00 ",1000.00%,"$26,085.60","$21,500.11","$4,585.49",Credit Card,September,9,2025,82.42%,,,,
10017,10/30/2026,1179.00,Customer 310,Mumbai,Maharashtra,278.00,Chair,Furniture,7.00,"$14,626.00 ",2000.00%,"$81,905.60","$55,922.03","$25,983.57",Cash,October,10,2026,68.28%,,,,
10018,8/6/2025,1333.00,Customer 85,Pune,Maharashtra,264.00,Mouse,Electronics,7.00,"$28,118.00 ",2000.00%,"$157,460.80","$119,282.74","$38,178.06",Credit Card,August,8,2025,75.75%,,,,
10019,1/13/2025,1355.00,Customer 216,Bengaluru,Karnataka,281.00,Mouse,Electronics,5.00,"$8,913.00 ",1500.00%,"$37,880.25","$30,035.43","$7,844.82",Cash,January,1,2025,79.29%,,,,4.4698
